<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
RIBL,20160218,11.1,11.15,11.05,11.1,525645
RIBL,20160217,11,11.1,11,11.09,122135
RIBL,20160216,11.1,11.1,11,11.05,457251
RIBL,20160215,10.95,11.1,10.9,11.04,791965
RIBL,20160214,11.1,11.15,10.95,10.95,1696458
BJAZ,20160218,12.2,12.35,12.15,12.25,4927890
BJAZ,20160217,12,12.2,11.9,12.1,3925988
BJAZ,20160216,12.2,12.35,11.95,12.04,6138743
BJAZ,20160215,11.85,12.1,11.8,12,5400372
BJAZ,20160214,12.3,12.4,11.75,11.79,4905734
SIBC,20160218,15,15.2,15,15.06,305244
SIBC,20160217,14.85,15,14.85,14.94,65518
SIBC,20160216,14.9,15.05,14.8,14.85,201482
SIBC,20160215,14.75,14.9,14.7,14.79,168042
SIBC,20160214,15.05,15.05,14.7,14.72,209228
AAAL,20160218,23.6,24.2,23.5,24.04,809373
AAAL,20160217,23.85,24,23.45,23.54,552719
AAAL,20160216,25,25.1,23.85,23.98,291266
AAAL,20160215,24.1,24.5,23.7,24.5,103855
AAAL,20160214,25,25,23.65,23.69,164075
BSFR,20160218,22.5,22.85,21.8,22.81,136702
BSFR,20160217,22.35,22.35,22.15,22.4,6700
BSFR,20160216,22.05,22.9,22,22.28,143068
BSFR,20160215,21.6,22.4,21.5,21.9,474610
BSFR,20160214,22.5,22.6,20.7,20.88,1086993
SABB,20160218,19.55,20.5,19.5,20.19,541331
SABB,20160217,19.65,19.65,19.45,19.49,114083
SABB,20160216,19.95,20,19,19.67,310750
SABB,20160215,19.35,19.9,19.35,19.72,83992
SABB,20160214,20,20,19.2,19.24,291587
ARNB,20160218,17.95,18.2,17.95,18.13,373357
ARNB,20160217,17.75,17.9,17.75,17.83,482120
ARNB,20160216,18.25,18.4,17.9,17.95,480173
ARNB,20160215,18.1,18.4,17.95,18.14,449903
ARNB,20160214,19.05,19.05,17.95,18.11,487715
SAMBA,20160218,19.5,20.15,19.5,20.15,842522
SAMBA,20160217,19.75,19.75,19.5,19.66,1466940
SAMBA,20160216,19.8,19.8,19.1,19.54,4785665
