<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AICC,20160204,6.95,6.95,6.55,6.58,2077068
ALKHALEEJTRNG,20160204,23.3,23.4,22.8,22.87,448253
MESC,20160204,7.3,7.35,7.15,7.19,1422051
PETRORABIGH,20160204,9.95,10,9.65,9.68,2685261
ZAIN.TASI,20160204,6.05,6.05,5.9,5.93,4211715
DARALARKAN,20160204,5,5.05,4.85,4.89,29611668
NAJRANCEM,20160204,13.25,13.25,12.7,12.78,3173414
JOUFCMNT,20160204,8.6,8.65,8.4,8.46,4112698
DALLAHHEALTH,20160204,67.5,71,67.5,70.26,127498
KEC,20160204,11.75,12.05,11.5,11.55,10914379
UCA,20160204,8.8,8.95,8.7,8.73,552863
ASLAK,20160204,17.15,18.3,17,17.05,797953
ATHEEB,20160204,4.05,4.1,4,4.01,6490949
SORAYAI,20160204,11,11.15,10.6,10.61,583665
HERFY,20160204,75,75.5,72.75,73.59,301428
MMG,20160204,12.55,12.55,12.55,12.55,0
BCI,20160204,19.05,19.7,18.9,19.29,194246
ASTRA,20160204,15.05,16.1,14.95,15.19,1732846
AXA,20160204,13.2,13.25,12.9,12.98,2272343
ACE,20160204,41.7,42,41.1,41.28,74524
WEQAYA,20160204,19.39,19.39,19.39,19.39,0
ARCCI,20160204,18.9,19.9,18.5,18.98,1153152
SSP,20160204,17.5,17.7,17.25,17.31,159580
PETROCHEM,20160204,14.55,14.55,14.1,14.12,773363
MOUASAT,20160204,118,123,116,118.68,74055
ALALAMIYA,20160204,32.4,32.5,31.5,31.64,794111
BURUJ,20160204,16.45,16.9,16.05,16.27,1407724
SOLIDARITY,20160204,7.85,7.85,7.3,7.31,2578988
AMANAINSURANCE,20160204,7.4,7.4,7.1,7.4,725436
WATANIYA,20160204,52,53,50.75,51.35,228756
SHAKER,20160204,21.3,22.6,21.3,22.06,1136152
ALKHODARI,20160204,10.25,10.45,10.1,10.21,1140166
HCC,20160204,12.5,12.6,12.15,12.17,759921
EXTRA,20160204,27.1,27.3,26.6,26.87,1129092
ENAYA,20160204,13.35,13.45,12.6,12.78,1111762
TAKWEEN,20160204,21,21.1,20,20.08,5083630
ALINMATOKIO,20160204,20.5,21.85,20.3,21.15,3465187
CATERING,20160204,99.75,100.25,97.75,97.94,264630
CITYCEMENT,20160204,12.8,13.05,12.45,12.53,2391510
SGS,20160204,41.8,43.6,41.8,42.28,622773
NORTHERNCEMENT,20160204,12.3,12.45,12.15,12.19,1088252
CARE,20160204,48.5,48.9,47.8,48.61,264625
JAZIRATKFL,20160204,26.7,27.1,26,26.28,663228
ANBINSURANCE,20160204,53,54,52.5,52.88,128505
BAWAN,20160204,17.4,17.65,16.8,17,1288784
FARM,20160204,47,47,45.3,45.54,42242
UACC,20160204,19.9,19.9,19.05,19.06,898389
HOKAIRGROUP,20160204,47,49,47,47.8,157597
HAMMADIINVEST,20160204,45,46,44.7,45.01,98587
EICO,20160204,24.5,24.7,23.85,23.97,699585
MEPCO,20160204,17.7,17.9,17.25,17.26,760421
SACO,20160204,83.25,86.25,82.5,85.09,139591
ALANDALUS,20160204,21,21,20.4,21,3185716
TASI.BFS,20160204,13872.42,14206.65,13888.84,13997.18,84835856
TASI.RTL,20160204,10032.92,10360.75,10037.71,10242.67,8999059
TASI.PCI,20160204,3634.61,3768.03,3626.39,3631,54745514
TASI.CMT,20160204,4239.23,4316,4240.75,4283.96,14561019
TASI.EU,20160204,5055.33,5126.33,5027.32,5047.08,1379889
TASI.TIT,20160204,1414.3,1432.71,1417.78,1426.67,12600535
TASI.AFI,20160204,7241.46,7508.21,7285.79,7438.09,19380021
TASI.INS,20160204,1073.86,1101.47,1076.9,1083.5,45901015
TASI.HTT,20160204,10757.31,11091.3,10758.25,10758.25,8156818
TASI.BDC,20160204,1800.03,1848.93,1802.88,1818.31,19363406
TASI.INI,20160204,5415.04,5539.37,5416.88,5465.73,20298272
TASI.MUI,20160204,2579.4,2627.95,2584.39,2595.68,4600106
TASI.MAP,20160204,2883.44,3066.45,2859.41,2901.94,13134410
TASI.RED,20160204,5117.88,5196.27,5087.35,5099.22,55243393
TASI.TRA,20160204,6312.52,6444.05,6307.36,6315.18,8081331
TASI,20160204,5927.36,6056.39,5929.77,5973.07,371280644
